Age Group,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All Ages,5514,19254,17571,16468,15946,15070,14416,14258,14010,14149,14505,14632,14207,14400,14750,14497,14155,13285,12821,12702,11943,10872,10362,9546,9222,8859,8203,7766,7091,6953,6632,5930,5909
< 1 Year,36,134,106,123,135,150,124,139,140,117,115,135,114,122,119,99,98,89,83,84,98,76,79,80,76,89,93,99,74,118,89,107,109
1-5 Years,51,208,226,197,229,244,222,201,206,225,194,219,221,189,217,191,199,167,190,209,195,200,230,220,195,220,204,208,213,225,227,215,220
6-10 Years,37,126,104,113,126,126,103,123,114,111,102,126,112,122,110,98,136,108,141,178,152,161,165,153,163,183,168,155,153,171,166,175,191
11-17 Years,152,450,440,465,446,421,394,410,394,429,436,433,432,495,523,511,542,523,520,517,565,533,595,602,635,709,687,680,577,573,566,540,603
18-34 Years,1518,5319,4995,4912,4855,4439,4236,4165,4109,4010,4210,4032,4055,4119,4229,4182,4180,3962,3942,3892,3557,3242,3163,3050,2940,2865,2825,2791,2594,2678,2673,2402,2525
35-49 Years,1708,6235,5671,5145,4963,4729,4663,4598,4584,4702,4828,4945,4771,4909,5187,5221,5107,4940,4708,4674,4416,3939,3600,3201,3168,2919,2590,2303,2161,2070,1899,1637,1553
50-64 Years,1632,5572,4901,4604,4371,4132,3899,3868,3763,3863,3830,3943,3687,3594,3512,3351,3143,2858,2643,2556,2430,2155,1988,1787,1659,1559,1381,1290,1109,971,903,793,662
65 +,379,1209,1127,908,820,822,774,754,700,692,790,799,815,850,853,844,750,638,594,592,527,563,540,452,384,314,255,240,210,147,109,60,46
Unknown,1,1,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,2,1,0,0,0,0,0,1,0
