,,,,To Date,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All Donor Types,All Genders,All Ages,,"395,898","5,514","19,254","17,571","16,468","15,946","15,070","14,416","14,258","14,010","14,149","14,505","14,632","14,207","14,400","14,750","14,497","14,155","13,285","12,821","12,702","11,943","10,872","10,362","9,546","9,222","8,859","8,203","7,766","7,091","6,953","6,632","5,930","5,909"
,,< 1 Year,,"3,449",36,134,106,123,135,150,124,139,140,117,115,135,114,122,119,99,98,89,83,84,98,76,79,80,76,89,93,99,74,118,89,107,109
,,1-5 Years,,"6,777",51,208,226,197,229,244,222,201,206,225,194,219,221,189,217,191,199,167,190,209,195,200,230,220,195,220,204,208,213,225,227,215,220
,,6-10 Years,,"4,472",37,126,104,113,126,126,103,123,114,111,102,126,112,122,110,98,136,108,141,178,152,161,165,153,163,183,168,155,153,171,166,175,191
,,11-17 Years,,"16,798",152,450,440,465,446,421,394,410,394,429,436,433,432,495,523,511,542,523,520,517,565,533,595,602,635,709,687,680,577,573,566,540,603
,,18-34 Years,,"120,666","1,518","5,319","4,995","4,912","4,855","4,439","4,236","4,165","4,109","4,010","4,210","4,032","4,055","4,119","4,229","4,182","4,180","3,962","3,942","3,892","3,557","3,242","3,163","3,050","2,940","2,865","2,825","2,791","2,594","2,678","2,673","2,402","2,525"
,,35-49 Years,,"131,744","1,708","6,235","5,671","5,145","4,963","4,729","4,663","4,598","4,584","4,702","4,828","4,945","4,771","4,909","5,187","5,221","5,107","4,940","4,708","4,674","4,416","3,939","3,600","3,201","3,168","2,919","2,590","2,303","2,161","2,070","1,899","1,637","1,553"
,,50-64 Years,,"92,409","1,632","5,572","4,901","4,604","4,371","4,132","3,899","3,868","3,763","3,863","3,830","3,943","3,687","3,594","3,512","3,351","3,143","2,858","2,643","2,556","2,430","2,155","1,988","1,787","1,659","1,559","1,381","1,290","1,109",971,903,793,662
,,65 +,,"19,557",379,"1,209","1,127",908,820,822,774,754,700,692,790,799,815,850,853,844,750,638,594,592,527,563,540,452,384,314,255,240,210,147,109,60,46
,,Unknown,,26,1,1,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,2,1,0,0,0,0,0,1,0
,Male,All Ages,,"204,278","2,971","9,800","9,036","8,521","8,178","7,722","7,354","7,242","7,044","7,103","7,175","7,344","7,210","7,550","7,557","7,248","7,090","6,639","6,495","6,374","6,093","5,505","5,310","5,005","4,820","4,690","4,500","4,285","3,933","3,862","3,793","3,456","3,373"
,,< 1 Year,,"1,957",21,84,60,75,70,89,69,91,89,69,66,76,64,72,74,51,59,52,47,43,55,32,44,48,44,42,54,53,39,59,45,64,57
,,1-5 Years,,"3,950",30,122,137,121,144,155,141,117,106,134,114,111,120,116,121,108,108,102,107,120,121,117,122,115,114,125,118,137,126,121,142,127,131
,,6-10 Years,,"2,726",22,84,60,66,74,74,67,77,60,66,59,74,61,71,52,55,70,69,87,102,94,105,107,92,81,131,102,95,109,106,112,115,127
,,11-17 Years,,"11,372",101,305,285,321,289,273,252,277,255,296,312,282,286,319,366,361,352,336,330,358,376,357,388,388,434,490,487,497,408,412,397,380,402
,,18-34 Years,,"71,619",932,"3,021","2,869","2,944","2,822","2,682","2,449","2,446","2,406","2,333","2,389","2,355","2,355","2,488","2,490","2,423","2,458","2,290","2,298","2,251","2,086","1,897","1,889","1,860","1,738","1,735","1,792","1,723","1,662","1,678","1,704","1,539","1,615"
,,35-49 Years,,"60,863",850,"2,947","2,709","2,436","2,354","2,164","2,202","2,129","2,066","2,148","2,160","2,240","2,205","2,348","2,395","2,348","2,302","2,227","2,121","2,103","1,982","1,778","1,628","1,474","1,470","1,321","1,199","1,084","1,004",981,942,823,723
,,50-64 Years,,"42,745",833,"2,676","2,399","2,166","2,038","1,896","1,803","1,789","1,734","1,737","1,719","1,840","1,733","1,740","1,633","1,514","1,393","1,258","1,216","1,125","1,141",955,896,819,761,701,637,575,506,446,390,382,294
,,65 +,,"9,033",182,561,517,391,386,385,371,316,328,320,356,366,386,396,426,388,348,305,289,272,236,262,235,209,177,145,111,121,79,59,61,25,24
,,Unknown,,13,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,1,0
,Female,All Ages,,"191,619","2,543","9,454","8,535","7,947","7,768","7,348","7,062","7,016","6,966","7,046","7,330","7,288","6,997","6,850","7,193","7,249","7,065","6,646","6,326","6,328","5,850","5,366","5,052","4,541","4,402","4,169","3,703","3,481","3,158","3,091","2,839","2,474","2,536"
,,< 1 Year,,"1,492",15,50,46,48,65,61,55,48,51,48,49,59,50,50,45,48,39,37,36,41,43,44,35,32,32,47,39,46,35,59,44,43,52
,,1-5 Years,,"2,827",21,86,89,76,85,89,81,84,100,91,80,108,101,73,96,83,91,65,83,89,74,83,108,105,81,95,86,71,87,104,85,88,89
,,6-10 Years,,"1,746",15,42,44,47,52,52,36,46,54,45,43,52,51,51,58,43,66,39,54,76,58,56,58,61,82,52,66,60,44,65,54,60,64
,,11-17 Years,,"5,426",51,145,155,144,157,148,142,133,139,133,124,151,146,176,157,150,190,187,190,159,189,176,207,214,201,219,200,183,169,161,169,160,201
,,18-34 Years,,"49,047",586,"2,298","2,126","1,968","2,033","1,757","1,787","1,719","1,703","1,677","1,821","1,677","1,700","1,631","1,739","1,759","1,722","1,672","1,644","1,641","1,471","1,345","1,274","1,190","1,202","1,130","1,033","1,068",932,"1,000",969,863,910
,,35-49 Years,,"70,881",858,"3,288","2,962","2,709","2,609","2,565","2,461","2,469","2,518","2,554","2,668","2,705","2,566","2,561","2,792","2,873","2,805","2,713","2,587","2,571","2,434","2,161","1,972","1,727","1,698","1,598","1,391","1,219","1,157","1,089",957,814,830
,,50-64 Years,,"49,664",799,"2,896","2,502","2,438","2,333","2,236","2,096","2,079","2,029","2,126","2,111","2,103","1,954","1,854","1,879","1,837","1,750","1,600","1,427","1,431","1,289","1,200","1,092",968,898,858,744,715,603,525,513,411,368
,,65 +,,"10,524",197,648,610,517,434,437,403,438,372,372,434,433,429,454,427,456,402,333,305,320,291,301,305,243,207,169,144,119,131,88,48,35,22
,,Unknown,,12,1,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0
,Unknown,All Ages,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,Unknown,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Deceased Donor,All Genders,All Ages,,"227,981","3,925","11,870","10,721","10,286","9,971","9,079","8,596","8,269","8,143","8,126","7,943","8,022","7,989","8,085","8,017","7,593","7,150","6,457","6,190","6,080","5,985","5,824","5,793","5,479","5,418","5,363","5,099","4,861","4,520","4,526","4,509","4,012","4,080"
,,< 1 Year,,"3,447",36,134,106,123,135,150,124,139,140,117,115,135,114,122,117,99,98,89,83,84,98,76,79,80,76,89,93,99,74,118,89,107,109
,,1-5 Years,,"6,775",51,208,226,197,229,244,222,201,206,225,194,218,221,189,217,191,199,167,190,209,195,200,230,220,195,220,204,207,213,225,227,215,220
,,6-10 Years,,"4,466",37,126,104,113,125,126,103,123,114,111,100,126,112,121,110,98,136,108,141,178,151,161,164,153,163,183,168,155,153,171,166,175,191
,,11-17 Years,,"16,733",152,449,439,463,445,419,392,410,392,428,432,433,432,494,522,511,542,522,518,516,564,533,590,601,628,706,684,676,576,570,561,536,597
,,18-34 Years,,"65,234","1,074","3,296","3,155","3,172","3,105","2,708","2,474","2,319","2,335","2,241","2,169","2,002","2,086","2,132","2,049","1,961","1,821","1,677","1,705","1,582","1,509","1,470","1,548","1,492","1,512","1,545","1,547","1,548","1,474","1,629","1,712","1,532","1,653"
,,35-49 Years,,"59,231","1,117","3,348","2,950","2,732","2,645","2,373","2,295","2,158","2,132","2,167","2,070","2,106","2,083","2,119","2,142","1,975","1,879","1,716","1,611","1,600","1,595","1,589","1,507","1,394","1,407","1,309","1,242","1,099","1,092","1,016","1,047",880,836
,,50-64 Years,,"55,668","1,164","3,454","2,946","2,820","2,659","2,441","2,372","2,285","2,250","2,242","2,194","2,310","2,216","2,138","2,079","1,972","1,782","1,606","1,409","1,389","1,398","1,273","1,187","1,134","1,089","1,034",938,865,762,670,624,526,440
,,65 +,,"16,425",294,855,795,666,628,618,614,634,574,595,669,692,725,770,781,786,693,572,533,522,475,522,487,405,348,277,223,212,176,127,83,40,34
,,Unknown,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,All Ages,,"136,362","2,414","7,164","6,496","6,199","5,957","5,486","5,164","4,906","4,820","4,764","4,683","4,727","4,733","4,877","4,780","4,423","4,110","3,795","3,693","3,578","3,484","3,344","3,367","3,249","3,229","3,211","3,122","3,020","2,800","2,783","2,853","2,584","2,547"
,,< 1 Year,,"1,955",21,84,60,75,70,89,69,91,89,69,66,76,64,72,72,51,59,52,47,43,55,32,44,48,44,42,54,53,39,59,45,64,57
,,1-5 Years,,"3,950",30,122,137,121,144,155,141,117,106,134,114,111,120,116,121,108,108,102,107,120,121,117,122,115,114,125,118,137,126,121,142,127,131
,,6-10 Years,,"2,723",22,84,60,66,73,74,67,77,60,66,59,74,61,70,52,55,70,69,87,102,93,105,107,92,81,131,102,95,109,106,112,115,127
,,11-17 Years,,"11,344",101,304,284,321,288,272,250,277,255,296,309,282,286,319,366,361,352,335,330,357,376,357,386,387,432,489,486,493,408,410,397,377,401
,,18-34 Years,,"45,663",741,"2,199","2,113","2,149","2,067","1,888","1,688","1,587","1,613","1,542","1,469","1,395","1,473","1,520","1,464","1,380","1,288","1,198","1,231","1,138","1,071","1,046","1,098","1,070","1,056","1,127","1,130","1,127","1,094","1,169","1,237","1,125","1,170"
,,35-49 Years,,"33,300",657,"1,973","1,750","1,591","1,550","1,364","1,334","1,245","1,188","1,176","1,180","1,193","1,188","1,226","1,213","1,082","1,013",961,892,899,821,817,801,776,794,691,669,588,600,558,587,484,439
,,50-64 Years,,"29,604",688,"1,970","1,699","1,569","1,455","1,328","1,308","1,243","1,220","1,196","1,168","1,262","1,191","1,200","1,103","1,020",897,806,734,682,733,631,596,569,544,480,467,420,358,308,285,271,203
,,65 +,,"7,822",154,428,393,307,310,316,307,269,289,285,318,334,350,354,389,366,323,272,265,237,214,239,213,192,164,126,96,107,66,52,48,20,19
,,Unknown,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,Female,All Ages,,"91,619","1,511","4,706","4,225","4,087","4,014","3,593","3,432","3,363","3,323","3,362","3,260","3,295","3,256","3,208","3,237","3,170","3,040","2,662","2,497","2,502","2,501","2,480","2,426","2,230","2,189","2,152","1,977","1,841","1,720","1,743","1,656","1,428","1,533"
,,< 1 Year,,"1,492",15,50,46,48,65,61,55,48,51,48,49,59,50,50,45,48,39,37,36,41,43,44,35,32,32,47,39,46,35,59,44,43,52
,,1-5 Years,,"2,825",21,86,89,76,85,89,81,84,100,91,80,107,101,73,96,83,91,65,83,89,74,83,108,105,81,95,86,70,87,104,85,88,89
,,6-10 Years,,"1,743",15,42,44,47,52,52,36,46,54,45,41,52,51,51,58,43,66,39,54,76,58,56,57,61,82,52,66,60,44,65,54,60,64
,,11-17 Years,,"5,389",51,145,155,142,157,147,142,133,137,132,123,151,146,175,156,150,190,187,188,159,188,176,204,214,196,217,198,183,168,160,164,159,196
,,18-34 Years,,"19,571",333,"1,097","1,042","1,023","1,038",820,786,732,722,699,700,607,613,612,585,581,533,479,474,444,438,424,450,422,456,418,417,421,380,460,475,407,483
,,35-49 Years,,"25,931",460,"1,375","1,200","1,141","1,095","1,009",961,913,944,991,890,913,895,893,929,893,866,755,719,701,774,772,706,618,613,618,573,511,492,458,460,396,397
,,50-64 Years,,"26,064",476,"1,484","1,247","1,251","1,204","1,113","1,064","1,042","1,030","1,046","1,026","1,048","1,025",938,976,952,885,800,675,707,665,642,591,565,545,554,471,445,404,362,339,255,237
,,65 +,,"8,603",140,427,402,359,318,302,307,365,285,310,351,358,375,416,392,420,370,300,268,285,261,283,274,213,184,151,127,105,110,75,35,20,15
,,Unknown,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Living Donor,All Genders,All Ages,,"167,917","1,589","7,384","6,850","6,182","5,975","5,991","5,820","5,989","5,867","6,023","6,562","6,610","6,218","6,315","6,733","6,904","7,005","6,828","6,631","6,622","5,958","5,048","4,569","4,067","3,804","3,496","3,104","2,905","2,571","2,427","2,123","1,918","1,829"
,,< 1 Year,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1-5 Years,,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,6-10 Years,,6,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,,65,0,1,1,2,1,2,2,0,2,1,4,0,0,1,1,0,0,1,2,1,1,0,5,1,7,3,3,4,1,3,5,4,6
,,18-34 Years,,"55,432",444,"2,023","1,840","1,740","1,750","1,731","1,762","1,846","1,774","1,769","2,041","2,030","1,969","1,987","2,180","2,221","2,359","2,285","2,237","2,310","2,048","1,772","1,615","1,558","1,428","1,320","1,278","1,243","1,120","1,049",961,870,872
,,35-49 Years,,"72,513",591,"2,887","2,721","2,413","2,318","2,356","2,368","2,440","2,452","2,535","2,758","2,839","2,688","2,790","3,045","3,246","3,228","3,224","3,097","3,074","2,821","2,350","2,093","1,807","1,761","1,610","1,348","1,204","1,069","1,054",852,757,717
,,50-64 Years,,"36,741",468,"2,118","1,955","1,784","1,712","1,691","1,527","1,583","1,513","1,621","1,636","1,633","1,471","1,456","1,433","1,379","1,361","1,252","1,234","1,167","1,032",882,801,653,570,525,443,425,347,301,279,267,222
,,65 +,,"3,132",85,354,332,242,192,204,160,120,126,97,121,107,90,80,72,58,57,66,61,70,52,41,53,47,36,37,32,28,34,20,26,20,12
,,Unknown,,24,1,1,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,2,1,0,0,0,0,0,0,0
,Male,All Ages,,"67,916",557,"2,636","2,540","2,322","2,221","2,236","2,190","2,336","2,224","2,339","2,492","2,617","2,477","2,673","2,777","2,825","2,980","2,844","2,802","2,796","2,609","2,161","1,943","1,756","1,591","1,479","1,378","1,265","1,133","1,079",940,872,826
